Прогон через двух агентов, европа и рф.
                            public_key                            |                     address                      |  rating   | valid_cnt | total_cnt | availability_percent 
------------------------------------------------------------------+--------------------------------------------------+-----------+-----------+-----------+----------------------
 7a37d3f16a9375c7b8407fb6126c6dd4a821d55026a4e819d01577631feb73dd | EQChhA0wBsdc7KeBsGI0ErA79RQOIUFhkQWZspUQdRd-HoNv | 17.768679 |        58 |        58 |               100.00
 0bf99991c3830b5cad00f01d3659dec9e9ae353f0925a555a5b5a30d96eb4e5a | EQDuksozsgnxnpvRf0KvVRdn_CjprQJgvyDG4rZ1AmgdJKN_ | 17.740817 |         1 |         8 |                12.50
 6f6053b4435ffd17bb1368d85ac3573b6fee2d62bb12629f1ddd36cbd7eb692d | EQAGozDJFCa2rE1tMWXCHBXXy9sQLR8RmSyB_nj2qtq8y4ls | 17.700924 |         0 |       283 |                 0.00
 3d11c40a1fe54d2b69cf1f8280ce7294ae4c1c7c98ddcc73653a3cf35a1b65af | EQBNGHnsFuldhjv9-3LPewyDmKLAhx3PE4m2sa42pSFCWrYx | 17.583283 |       269 |       273 |                98.53
 516a32d046c4a2187088143edf278a6be1a119dc691bb7bd21dd81ed26a26a34 | EQAEG-63fMkmNJ0s-w5ZlHlLwtNuJfF1zG_0Yr-tiCTuyCZv | 17.573846 |       360 |       365 |                98.63
 7f41f5e1ca22563d01cc9106d8ed14c76ae643aeac9a51f889d1301577556b63 | EQAdanpgtJl6UE8XjL6i_67QITE8wWvhSMg31muGSXyeXUtt | 17.571842 |       278 |       330 |                84.24
 1956fd0785e9c1e9dba467da8e122abee667cd5ed721d964defd656640addf61 | EQBi0850xIt6Z-jYPipX6fKUzpDcn8UZD07EJjA8ug2P-qDu | 17.567510 |        69 |        91 |                75.82
 dea2766730486d71173a37ae36a816e7b1bbbc58e40567801a4a0b3bc3e2ff0c | EQCM9DbjYI14wzImRjY5gsrl6UcDfKdk7nnbJfJGRcAIl6hY | 16.946837 |        94 |        97 |                96.91
 30f167a33cdbb78ef5997b7134be8f7d0469742244dc0c6ff4ab70214e886d48 | EQDq95zEi68_QBRVR-WguwBSTdoTPrrnEqTStpBqIRCFe7zv | 16.895084 |       180 |       181 |                99.45
